oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF17aaafibe,1663428616215010025,59417.428611100186,1,18.592651,0.08044351,18.65953,0.085554466
ZTF17aaafibe,1662416225015015008,59416.41622690018,2,18.025003,0.10358514,16.621529,0.028438559
ZTF17aaafibe,1658463136215010031,59412.463136599865,1,19.582262,0.13554333,18.12503,0.03541486
ZTF17aaafibe,1658424126215015009,59412.4241204001,2,18.884,0.13379376,16.718225,0.01820228
ZTF17aaafibe,1657452115015015014,59411.45211810013,2,18.10249,0.08961582,16.642258,0.023350265
ZTF17aaafibe,1655463486215015020,59409.46348380018,2,18.350006,0.07677375,16.62822,0.01572166
ZTF17aaafibe,1655450995015015008,59409.45099540008,2,17.964233,0.06356781,16.604504,0.018169591
ZTF17aaafibe,1655427926215015014,59409.42792819999,1,19.170582,0.12568769,17.585917,0.02920293
ZTF17aaafibe,1651447835015015012,59405.4478356,1,19.6489,0.278933,17.683088,0.045622136
ZTF17aaafibe,1653430785015015045,59407.430786999874,2,18.486336,0.11207478,16.729952,0.022230772
ZTF17aaafibe,1626465276215015013,59380.46527779987,2,18.1901,0.213293,16.593502,0.049015943
ZTF17aaafibe,1651425675015015013,59405.42567129992,2,18.016611,0.07149036,16.619219,0.019737419
ZTF17aaafibe,1625464306215010030,59379.46430560015,2,18.88997,0.12443297,17.061926,0.023105621
ZTF17aaafibe,1625462336215010028,59379.46233800007,2,18.854456,0.121374115,17.068651,0.023431709
ZTF17aaafibe,1624468596215015023,59378.468599500135,2,18.9108,0.20699,16.721832,0.02756527
ZTF17aaafibe,1625460376215010017,59379.46037039999,2,18.709064,0.09479262,17.099108,0.021517513
ZTF17aaafibe,1624466636215015013,59378.46663190005,2,18.875118,0.17808747,16.717012,0.024400081
ZTF17aaafibe,1624464666215015017,59378.46466440009,2,18.921741,0.16533479,16.723284,0.021826353
ZTF17aaafibe,1624462706215015028,59378.46270829998,2,18.782488,0.1347029,16.703844,0.019857274
ZTF17aaafibe,1624460746215015018,59378.4607406999,2,18.625275,0.10153548,16.67919,0.016911557
ZTF17aaafibe,1617467145015015007,59371.46714119986,2,18.023563,0.05526488,16.621134,0.015187181
ZTF17aaafibe,1617465235015015012,59371.4652315001,2,18.102222,0.08986864,16.642187,0.023420397
ZTF17aaafibe,1617463325015015013,59371.46332179988,2,18.074463,0.09468696,16.634884,0.025145419
ZTF17aaafibe,1617461405015015006,59371.46140050003,2,18.034847,0.07425428,16.624222,0.02025217
