oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18aaztjot,609283795515010010,58363.28379630018,2,14.761872,0.026339078,14.978016,0.03214091
ZTF18aaztjot,1367287445515010003,59121.28744209977,1,18.868874,0.16612902,16.742256,0.023431422
ZTF18aaztjot,987363201815015001,58741.36320600007,2,15.4068,0.080159,14.303878,0.02902574
ZTF18aaztjot,853427045515010003,58607.42704859981,1,17.719982,0.05602432,17.077003,0.030987414
ZTF18aaztjot,553448115515010005,58307.44811340002,1,17.810505,0.07309649,17.029999,0.03561999
ZTF18aaztjot,1302411785515015007,59056.41178240022,1,17.26317,0.075230695,16.128498,0.026456105
ZTF18aaztjot,893358845515010019,58647.35884260014,1,17.46316,0.05954594,17.250399,0.048949454
ZTF18aaztjot,607382965515010009,58361.382962999865,1,17.078215,0.041116185,17.717796,0.07410468
ZTF18aaztjot,573399295515010001,58327.39929400012,2,15.171267,0.02709805,14.625707,0.0163951
ZTF18aaztjot,536473555515010009,58290.47355319979,2,15.6446,0.035605,14.41535,0.011476536
ZTF18aaztjot,874409375515010011,58628.409374999814,2,15.320512,0.041746497,14.544457,0.020426705
