oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18abdeyrl,1672359255915010006,59426.359259299934,1,17.761086,0.06337249,17.149166,0.036068905
ZTF18abdeyrl,1661436845915050009,59415.43684029998,1,17.8086,0.056337,17.123024,0.029961484
ZTF18abdeyrl,1674322115915010008,59428.32211809978,1,17.812809,0.0551437,17.12079,0.029153375
ZTF18abdeyrl,1674361315915010006,59428.361319399904,2,18.672644,0.1460449,16.886614,0.028188642
ZTF18abdeyrl,1676320335915015022,59430.32033560006,1,16.50294,0.030978693,15.826057,0.016607728
ZTF18abdeyrl,1661436845915060009,59415.43684029998,1,17.8086,0.056337,17.123024,0.029961484
ZTF18abdeyrl,1676342885915015022,59430.34288189979,2,16.941887,0.03286337,16.058867,0.014571481
ZTF18abdeyrl,1312392405915015012,59066.39240740007,1,18.70291,0.14756872,16.50604,0.019509533
ZTF18abdeyrl,631232435915010000,58385.232430600096,2,18.639534,0.14204748,16.893122,0.028436005
ZTF18abdeyrl,901462695915010008,58655.46269680001,1,17.910883,0.07468614,17.072313,0.03449944
ZTF18abdeyrl,929461965915010005,58683.461967600044,1,18.21198,0.07975766,16.957174,0.025110189
ZTF18abdeyrl,1031234385915010013,58785.23438660009,2,19.014915,0.18182345,16.831379,0.02433522
ZTF18abdeyrl,1276376955915010006,59030.37695599999,1,18.110435,0.084112786,16.991215,0.030003637
ZTF18abdeyrl,1268385455915010013,59022.38545140019,1,17.681253,0.07031266,17.197369,0.045027714
ZTF18abdeyrl,549419355915010004,58303.4193519,1,17.750103,0.06924033,17.155466,0.04004097
ZTF18abdeyrl,1282370395915015005,59036.3703935002,2,16.67408,0.05205422,15.931914,0.026277846
ZTF18abdeyrl,1262464725915015014,59016.46472219983,2,17.370434,0.0500724,16.228445,0.017490515
ZTF18abdeyrl,609297935915010009,58363.29793980019,1,17.786102,0.064860515,17.135181,0.03561326
ZTF18abdeyrl,1324360795915010017,59078.36079860013,1,18.278107,0.089731,16.937162,0.026095467
ZTF18abdeyrl,957353315915015010,58711.35331019992,2,17.107525,0.07046163,16.129211,0.028617218
ZTF18abdeyrl,715107465915010004,58469.10746529978,1,18.700855,0.15309633,16.839825,0.027577365
ZTF18abdeyrl,1423089615915015009,59177.08961809985,2,17.45138,0.049433902,16.256039,0.01643949
ZTF18abdeyrl,1297410025915010008,59051.41002310021,2,18.844957,0.14455329,16.856287,0.023150465
ZTF18abdeyrl,880437185915015012,58634.43718749983,2,18.068,0.053807,16.424976,0.011847568
ZTF18abdeyrl,606370195915010010,58360.37019680021,1,17.792585,0.055270344,17.131638,0.030068584
ZTF18abdeyrl,979318765915010018,58733.31876160018,1,18.842522,0.119337715,16.816162,0.018460078
ZTF18abdeyrl,1309455705915015012,59063.45570599986,1,16.57009,0.030276781,15.861539,0.015764842
ZTF18abdeyrl,1429072445915010014,59183.07244209992,2,19.047195,0.12046372,16.827131,0.015589433
ZTF18abdeyrl,889477155915015010,58643.47715280019,2,18.441738,0.08350153,16.496933,0.013924258
ZTF18abdeyrl,1079125395915010015,58833.125393500086,1,18.735077,0.12754127,16.833775,0.022137549
ZTF18abdeyrl,1015194375915010010,58769.19437499996,1,17.770123,0.072741196,17.144056,0.040865213
ZTF18abdeyrl,577446425915010002,58331.44642359996,1,17.764015,0.08961467,17.147503,0.050789487
ZTF18abdeyrl,1327312115915010004,59081.3121181,1,17.659908,0.06313214,17.211262,0.041763045
ZTF18abdeyrl,568455415915010016,58322.45541669987,1,17.848726,0.06216582,17.102272,0.031258635
ZTF18abdeyrl,552443855915015004,58306.44385420019,1,16.974113,0.037933942,16.053162,0.016242288
ZTF18abdeyrl,1000252745915010038,58754.252743099816,1,18.374289,0.092085265,16.910719,0.023920072
ZTF18abdeyrl,1318332395915010007,59072.332395799924,2,18.85573,0.11193564,16.85457,0.017721679
ZTF18abdeyrl,621285275915010009,58375.28527780017,1,18.232159,0.057251487,16.9509,0.01759069
ZTF18abdeyrl,1377219815915010025,59131.21981480019,2,18.92615,0.08695508,16.84383,0.012775182
