oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18aasnisf,1255278141915015005,59009.27814809978,1,17.470396,0.06860291,14.971485,0.0068671736
ZTF18aasnisf,901292031915010021,58655.29203699995,1,17.274668,0.065436125,15.241213,0.010056242
ZTF18aasnisf,1282242321915010020,59036.24232639978,1,17.144735,0.07469161,15.262635,0.013195679
ZTF18aasnisf,854450401915015019,58608.450405099895,1,18.469496,0.085118115,15.038916,0.00361235
ZTF18aasnisf,1391207451915015006,59145.20745369978,1,16.873022,0.070931904,14.8945465,0.011467041
ZTF18aasnisf,1357128681915015017,59111.12868059985,1,16.980946,0.09694118,14.911283,0.014409312
ZTF18aasnisf,631208421915015049,58385.20842589997,2,15.352027,0.10330249,12.921594,0.01101381
ZTF18aasnisf,563403651915015034,58317.40365740005,2,15.80964,0.057335507,12.962153,0.004163219
ZTF18aasnisf,1415090401915015008,59169.090405100025,1,17.574638,0.0692092,14.98148,0.006351854
ZTF18aasnisf,545440921915010006,58299.44092589989,1,17.42796,0.1294987,15.219462,0.016938169
ZTF18aasnisf,1050094891915015013,58804.09489580011,1,17.077435,0.06029119,14.925094,0.008304576
ZTF18aasnisf,955236551915010033,58709.236550900154,1,17.067831,0.03920842,15.276807,0.0075330273
ZTF18aasnisf,580344271915010016,58334.344270799775,2,15.495976,0.13232599,13.163863,0.01544542
ZTF18aasnisf,570400711915010002,58324.40071759978,1,17.339346,0.08002367,15.2316065,0.0114847785
ZTF18aasnisf,891420021915010183,58645.420023099985,1,17.157726,0.09136083,15.260356,0.015915195
ZTF18aasnisf,543457361915015023,58297.457361099776,1,17.067146,0.072702795,14.923671,0.010096269
ZTF18aasnisf,884464161915015018,58638.46416669991,2,15.219669,0.032371886,12.906689,0.0038457033
ZTF18aasnisf,913423241915015011,58667.423240699805,1,17.02493,0.029474534,14.917709,0.004232129
ZTF18aasnisf,1342321741915015016,59096.32174770022,2,15.1857,0.062246,12.902597,0.0076009906
ZTF18aasnisf,624193101915010014,58378.193101900164,1,17.074865,0.055512387,15.27546,0.010583465
ZTF18aasnisf,614253501915010027,58368.25350689981,1,16.920776,0.050131332,15.307492,0.011344766
ZTF18aasnisf,1209484031915010051,58963.48403939977,1,17.55506,0.065508746,15.203886,0.007513286
ZTF18aasnisf,610186501915010045,58364.186504600104,2,16.261843,0.12577543,13.10155,0.006846658
ZTF18aasnisf,528351881915015036,58282.35188659979,2,15.3166895,0.009605384,12.917771,0.001054259
ZTF18aasnisf,1326216821915010013,59080.216828700155,1,17.43181,0.11919605,15.21896,0.015528212
ZTF18aasnisf,1034119221915010036,58788.11922449991,1,17.53983,0.102641664,15.2056465,0.011957781
ZTF18aasnisf,546447551915010003,58300.4475579001,1,17.355158,0.105590686,15.229356,0.014904067
ZTF18aasnisf,1344211381915010018,59098.211388899945,1,17.660744,0.084296286,15.192397,0.008679003
ZTF18aasnisf,572351851915015028,58326.35185190011,2,15.170516,0.014867821,12.900732,0.0018379495
ZTF18aasnisf,992137731915015042,58746.13773149997,1,17.606342,0.076417066,14.984351,0.0068295803
ZTF18aasnisf,514479471915015011,58268.47947920021,1,17.1509,0.033466,14.934923,0.0043472354
ZTF18aasnisf,679142311915015033,58433.14231480006,1,17.546684,0.08023678,14.978885,0.007537954
ZTF18aasnisf,560414441915010018,58314.4144444,2,15.506574,0.07050526,13.162633,0.008140388
ZTF18aasnisf,522373111915010007,58276.37311339984,1,17.735754,0.033858784,15.18496,0.0032311266
ZTF18aasnisf,819498861915010036,58573.49886569986,1,17.465048,0.06346185,15.214704,0.007986839
ZTF18aasnisf,1214478171915010038,58968.47817130014,1,17.74289,0.08256778,15.184282,0.007822898
ZTF18aasnisf,1385183861915010034,59139.18386569992,1,17.9208,0.204067,15.168846,0.016180482
