,oid,classALeRCE,period,source,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
10,ZTF17aaageae,RRL,0.8187737,ASASSN,60,60,0.2020115852355957,0.19001102447509766,4.574516900967431,0.8187644254305625,60,60,0.14400815963745117,0.13600754737854004,4.574039885532339,0.8187644254305625,60,60,0.1870107650756836,0.18101024627685547,0.8187217364125645,0.8187217364125645,60,60,1.1210639476776123,1.1110637187957764,0.8187644254305625,0.8187217364125645,60,60,1.1260643005371094,1.1330649852752686,0.8187644254305625,0.8187217364125645,60,60,1.1260643005371094,1.1290645599365234,0.8187644254305625,0.8187644254305625
11,ZTF18aavoopc,RRL,0.681297,LINEAR,60,60,0.20301151275634766,0.19401097297668457,1.362560770089049,0.40477337739343644,60,60,0.1410081386566162,0.1390080451965332,0.6813446953965754,2.1509511898051747,60,60,0.18501067161560059,0.18201065063476562,0.6813446953965754,0.6813446953965754,60,60,1.1400651931762695,1.1300649642944336,0.6813091712151855,0.6813091712151855,60,60,1.1370649337768555,1.2700724601745605,0.6813091712151855,0.6813091712151855,60,60,1.1500658988952637,1.1350650787353516,0.6813091712151855,0.6813091712151855
12,ZTF18adbijsh,RRL,0.3498051,CRTSnorth,60,60,0.2000114917755127,0.19301104545593262,0.3497926528025953,0.34981088946002964,60,60,0.14200806617736816,0.1370077133178711,0.3497926528025953,0.3497926528025953,60,60,0.1780104637145996,0.1890106201171875,0.3497926528025953,0.34981088946002964,60,60,1.1390652656555176,1.1340651512145996,0.3497926528025953,0.34981088946002964,60,60,1.1480655670166016,1.1300647258758545,0.3497926528025953,0.34981088946002964,60,60,1.1430654525756836,1.1340649127960205,0.3497926528025953,0.34981088946002964
13,ZTF19aaaqlnt,RRL,0.602538,CRTSsouth,60,60,0.20101141929626465,0.19601106643676758,0.6025366749811475,0.6025366749811475,60,60,0.1410081386566162,0.1390080451965332,0.6025366749811475,0.6025366749811475,60,60,0.18201065063476562,0.18101048469543457,0.6025052629946588,0.6025052629946588,60,60,1.1160635948181152,1.1100635528564453,0.6025366749811475,0.6025052629946588,60,60,1.1220645904541016,1.1200640201568604,0.6025052629946588,0.6025052629946588,60,60,1.1160640716552734,1.1540658473968506,0.6025366749811475,0.6025366749811475
14,ZTF18abrrnrj,RRL,0.47305,ASASSN,60,60,0.21401214599609375,0.2040116786956787,17.977905618123316,1.4191789052549237,60,60,0.14900851249694824,0.14500832557678223,0.8999435425392216,8.988629766842704,60,60,0.20501136779785156,0.18101048469543457,0.4730336401689696,0.47308295369087466,60,60,1.1420652866363525,1.1560661792755127,0.4730582956447616,0.4730582956447616,60,60,1.1380653381347656,1.1330647468566895,0.4730336401689696,0.4730582956447616,60,60,1.1340649127960205,1.1760671138763428,0.4730336401689696,0.4730582956447616
15,ZTF19acaqvrw,RRL,0.352036,CRTSnorth,60,60,0.25501465797424316,0.354020357131958,0.5442982919724193,0.2602356663951295,60,60,0.3870220184326172,0.32901883125305176,0.5443975510495039,0.3521344498311317,60,60,0.4000227451324463,0.37302112579345703,0.35215280379513353,0.26024923252883864,60,60,2.0611178874969482,1.7330992221832275,0.5443691685447055,0.2602356663951295,60,60,1.575089931488037,1.3920798301696777,0.5443691685447055,0.2602356663951295,60,60,1.4550831317901611,1.4050803184509277,0.5443691685447055,0.2602356663951295
16,ZTF18aagtefw,RRL,0.3590813,CRTSnorth,60,60,0.2670149803161621,0.25301432609558105,0.35907644104525405,0.35907644104525405,60,60,0.18001031875610352,0.17901015281677246,0.35907644104525405,0.3590671259583706,60,60,0.23801374435424805,0.46402645111083984,0.35907644104525405,0.35907644104525405,60,60,2.749157190322876,2.0791192054748535,0.35907644104525405,0.35907644104525405,60,60,2.406137466430664,1.926110029220581,0.35907644104525405,0.13596550659540713,60,60,1.5970914363861084,2.3141324520111084,0.35907644104525405,0.35907644104525405
17,ZTF18acwyzmt,RRL,0.5822749,GAIADR2VS,60,60,0.48602771759033203,0.44402551651000977,0.5822955203285922,0.5822651635722712,60,60,0.2630150318145752,0.241013765335083,0.5823258802504152,0.5822651635722712,60,60,0.32901883125305176,0.4150240421295166,0.5822955203285922,0.5822348099809567,60,60,2.518143892288208,2.159123420715332,0.5822955203285922,0.5822651635722712,60,60,1.9901137351989746,2.41713809967041,0.5822955203285922,0.5822651635722712,60,60,1.9331107139587402,1.5430879592895508,0.5822955203285922,0.5822651635722712
18,ZTF19aabztxf,RRL,0.4955803,ASASSN,60,60,0.25701451301574707,0.25101447105407715,0.9910294868801308,66.01025204394108,60,60,0.18001008033752441,0.17501020431518555,0.9851062200103294,133.9384986816115,60,60,0.2370133399963379,0.2240126132965088,0.49557442952060365,0.49557442952060365,60,60,1.4750843048095703,1.3740785121917725,0.49557442952060365,0.4955486018653875,60,60,1.1320648193359375,1.091062307357788,0.49557442952060365,0.9851575737808694,60,60,1.1360650062561035,1.1130635738372803,0.49557442952060365,0.49557442952060365
19,ZTF17aabxlmp,RRL,0.5871149,CRTSnorth,60,60,0.19801115989685059,0.19601130485534668,0.5870960125678465,0.5870960125678465,60,60,0.14600825309753418,0.13800787925720215,0.5870960125678465,0.5870960125678465,60,60,0.18501067161560059,0.17700982093811035,0.5870960125678465,0.5870960125678465,60,60,1.1490657329559326,1.1130638122558594,0.5870654119291261,0.5870960125678465,60,60,1.1400649547576904,1.1050631999969482,0.5870960125678465,0.5870960125678465,60,60,1.184067726135254,1.195068120956421,0.5870960125678465,0.5870960125678465
